Class,Identifiers,Address,Type,Initial Value,Comment
VAR,auto,D4301,WORD,,
VAR,onOffRecipeAddr,D4000,WORD,0,
VAR,waterOn,D4001,WORD,0,
VAR,lightOn,D4002,WORD,0,
VAR,autoRecipeAddr,D4100,WORD,0,
VAR,a_PV0_enable,D4101,WORD,0,
VAR,a_PV1_enable,D4102,WORD,0,
VAR,a_PV2_enable,D4103,WORD,0,
VAR,a_PV0_pres,D4104,WORD,0,
VAR,a_PV1_pres,D4105,WORD,0,
VAR,a_PV2_pres,D4106,WORD,0,
VAR,a_lightIntensity,D4107,WORD,0,
VAR,manualRecipeAddr,D4200,WORD,0,
VAR,m_PV0_On,D4201,WORD,0,
VAR,m_PV1_On,D4202,WORD,0,
VAR,m_PV2_On,D4203,WORD,0,
VAR,m_PV0_pres,D4204,WORD,0,
VAR,m_PV1_pres,D4205,WORD,0,
VAR,m_PV2_pres,D4206,WORD,0,
VAR,m_lightIntensity,D4207,WORD,0,
VAR,m_lightOnOff,D4208,WORD,0,
VAR,exeRecipeAddr,D10021,WORD,0,
VAR,e_PV0_On,D10022,WORD,0,
VAR,e_PV1_On,D10023,WORD,0,
VAR,e_PV2_On,D10024,WORD,0,
VAR,e_PV0_pres,D10025,WORD,0,
VAR,e_PV1_pres,D10026,WORD,0,
VAR,e_PV2_pres,D10027,WORD,0,
VAR,e_lightIntensity,D10028,WORD,0,
VAR,e_lightOnOff,D10029,WORD,0,
VAR,PV_OnArr,D10030.0,ARRAY [3] OF BOOL,[3(FALSE)],
VAR,PV_SpArr,D10031,ARRAY [3] OF WORD,[3(0)],
VAR,lightOnOut,D10034.0,BOOL,FALSE,
VAR,lightIntensOut,D10035,WORD,0,
